Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Comparative study of the contractility measurement max. dp/dt in the horse, cow, swine, dog, cat and man].","/pubmed/6463643","Beglinger R, Becker M.","Schweiz Arch Tierheilkd. 1984 May;126(5):265-71. German.  No abstract available. ","Schweiz Arch Tierheilkd.  1984","PubMed","citation","PMID:6463643","pubmed","6463643","create date:1984/05/01 | first author:Beglinger R",
"[Toxoplasmosis: facts and conjectures. 2. The routes of circulation of the causative agent].","/pubmed/6379403","Lysenko AIa.","Med Parazitol (Mosk). 1984 May-Jun;(3):45-53. Review. Russian.  No abstract available. ","Med Parazitol (Mosk).  1984","PubMed","citation","PMID:6379403","pubmed","6379403","create date:1984/05/01 | first author:Lysenko AIa",
"A computerized micro-ELISA assay for allergen-specific IgE antibodies.","/pubmed/6372431","Ali M, Ramanarayanan MP.","Am J Clin Pathol. 1984 May;81(5):591-601.","Am J Clin Pathol.  1984","PubMed","citation","PMID:6372431","pubmed","6372431","create date:1984/05/01 | first author:Ali M",
"Pasteurella multocida infections. Report of 34 cases and review of the literature.","/pubmed/6371440","Weber DJ, Wolfson JS, Swartz MN, Hooper DC.","Medicine (Baltimore). 1984 May;63(3):133-54. Review.","Medicine (Baltimore).  1984","PubMed","citation","PMID:6371440","pubmed","6371440","create date:1984/05/01 | first author:Weber DJ",
"Immunocytochemical localisation of the icosapeptide fragment of the PP precursor: a marker for 'true' PP cells?","/pubmed/6379757","Sundler F, Böttcher G, Håkanson R, Schwartz TW.","Regul Pept. 1984 Apr;8(3):217-24.","Regul Pept.  1984","PubMed","citation","PMID:6379757","pubmed","6379757","create date:1984/04/01 | first author:Sundler F",
"Skin tests and blood leukocyte histamine release of patients with allergies to laboratory animals.","/pubmed/6200526","Hook WA, Powers K, Siraganian RP.","J Allergy Clin Immunol. 1984 Apr;73(4):457-65.","J Allergy Clin Immunol.  1984","PubMed","citation","PMID:6200526","pubmed","6200526","create date:1984/04/01 | first author:Hook WA",
"Herpesvirus diseases of veterinary importance.","/pubmed/6100715","Chang TW.","Clin Dermatol. 1984 Apr-Jun;2(2):147-51. No abstract available. ","Clin Dermatol.  1984","PubMed","citation","PMID:6100715","pubmed","6100715","create date:1984/04/01 | first author:Chang TW",
"[Cat-scratch disease. An typical form].","/pubmed/6428287","Aldamiz-Echevarría L, Pérez-Yarza EG, Morrás I, Ormaechea V, Eizaguirre I, Albisu Y.","An Esp Pediatr. 1984 Mar 15;20(4):395-9. Spanish. ","An Esp Pediatr.  1984","PubMed","citation","PMID:6428287","pubmed","6428287","create date:1984/03/15 | first author:Aldamiz-Echevarría L",
"Inhibition of the human tissue plasminogen activator in plasma from different species.","/pubmed/6202022","Häggroth L, Mattsson C, Friberg J.","Thromb Res. 1984 Mar 15;33(6):583-94.","Thromb Res.  1984","PubMed","citation","PMID:6202022","pubmed","6202022","create date:1984/03/15 | first author:Häggroth L",
"Occurrence, storage and release of neurotensin-like immunoreactivity from the adrenal gland.","/pubmed/6741572","Rökaeus A, Fried G, Lundberg JM.","Acta Physiol Scand. 1984 Mar;120(3):373-80.","Acta Physiol Scand.  1984","PubMed","citation","PMID:6741572","pubmed","6741572","create date:1984/03/01 | first author:Rökaeus A",
"The frequency and severity of cat allergy vs. dog allergy in atopic children.","/pubmed/6699320","Bookman R.","J Allergy Clin Immunol. 1984 Mar;73(3):411. No abstract available. ","J Allergy Clin Immunol.  1984","PubMed","citation","PMID:6699320","pubmed","6699320","create date:1984/03/01 | first author:Bookman R",
"The synthesis of cyclooxygenase products in ocular tissues of various species.","/pubmed/6421543","Kulkarni PS, Fleisher L, Srinivasan BD.","Curr Eye Res. 1984 Mar;3(3):447-52.","Curr Eye Res.  1984","PubMed","citation","PMID:6421543","pubmed","6421543","create date:1984/03/01 | first author:Kulkarni PS",
"VIP-immunoreactivity in the skin of various mammals: immunohistochemical, radioimmunological and experimental evidence for a dual localization in cutaneous nerves and merkel cells.","/pubmed/6382194","Hartschuh W, Reinecke M, Weihe E, Yanaihara N.","Peptides. 1984 Mar-Apr;5(2):239-45.","Peptides.  1984","PubMed","citation","PMID:6382194","pubmed","6382194","create date:1984/03/01 | first author:Hartschuh W",
"The risks and problems associated with the importation of dogs, cats and other mammals. I. Rabies.","/pubmed/6372940","Turner T.","Br Vet J. 1984 Mar-Apr;140(2):96-106. No abstract available. ","Br Vet J.  1984","PubMed","citation","PMID:6372940","pubmed","6372940","create date:1984/03/01 | first author:Turner T",
"Progesterone receptors in feline mammary adenocarcinomas.","/pubmed/6711965","Johnston SD, Hayden DW, Kiang DT, Handschin B, Johnson KH.","Am J Vet Res. 1984 Feb;45(2):379-82.","Am J Vet Res.  1984","PubMed","citation","PMID:6711965","pubmed","6711965","create date:1984/02/01 | first author:Johnston SD",
"Clinical pharmacology of cephalosporin antibiotics.","/pubmed/6698871","Papich MG.","J Am Vet Med Assoc. 1984 Feb 1;184(3):344-7. No abstract available. ","J Am Vet Med Assoc.  1984","PubMed","citation","PMID:6698871","pubmed","6698871","create date:1984/02/01 | first author:Papich MG",
"Characterization of glucocorticoid receptors in animal lymphoblastic disease: correlation with response to single-agent glucocorticoid treatment.","/pubmed/6581841","Bell R, Cotter S, Lillquist A, Sallan S, McCaffrey R.","Blood. 1984 Feb;63(2):380-3.","Blood.  1984","PubMed","citation","PMID:6581841","pubmed","6581841","create date:1984/02/01 | first author:Bell R",
"Metagonimiasis in Korea.","/pubmed/6542397","Cho SY, Kang SY, Lee JB.","Arzneimittelforschung. 1984;34(9B):1211-3.","Arzneimittelforschung.  1984","PubMed","citation","PMID:6542397","pubmed","6542397","create date:1984/01/01 | first author:Cho SY",
"Immunocytochemical study on the C cells in pig thyroid glands.","/pubmed/6516770","Tsuchiya T, Shiomura Y, Suzuki K, Nagai H, Tamate H.","Acta Anat (Basel). 1984;120(3):138-41.","Acta Anat (Basel).  1984","PubMed","citation","PMID:6516770","pubmed","6516770","create date:1984/01/01 | first author:Tsuchiya T",
"A five-year analysis of diseases of dogs and cats in the Veterinary Clinic of Freetown, Sierra Leone.","/pubmed/6508729","Hassan IC.","Beitr Trop Landwirtsch Veterinarmed. 1984;22(3):305-8.","Beitr Trop Landwirtsch Veterinarmed.  1984","PubMed","citation","PMID:6508729","pubmed","6508729","create date:1984/01/01 | first author:Hassan IC",
"Use of isoelectric focusing of bacterial proteins for characterisation of strains of motile anaerobic "corroding" bacteria isolated from soft tissue infections in cats and dogs.","/pubmed/6499406","Love DN, Jones RF, Bailey M.","Comp Immunol Microbiol Infect Dis. 1984;7(2):101-8.","Comp Immunol Microbiol Infect Dis.  1984","PubMed","citation","PMID:6499406","pubmed","6499406","create date:1984/01/01 | first author:Love DN",
"MHC homology between various mammalian species at the DNA level: its relevance to MHC evolution.","/pubmed/6444083","Devilee P, Warnaar JN, Giphart MJ.","Exp Clin Immunogenet. 1984;1(2):90-8.","Exp Clin Immunogenet.  1984","PubMed","citation","PMID:6444083","pubmed","6444083","create date:1984/01/01 | first author:Devilee P",
"Photodynamic therapy (PDT) of malignant tumors.","/pubmed/6397270","Dougherty TJ.","Crit Rev Oncol Hematol. 1984;2(2):83-116. Review.","Crit Rev Oncol Hematol.  1984","PubMed","citation","PMID:6397270","pubmed","6397270","create date:1984/01/01 | first author:Dougherty TJ",
"Therapeutic range of cardiac glycosides.","/pubmed/6331374","Haustein KO.","Basic Res Cardiol. 1984;79 Suppl:147-53.","Basic Res Cardiol.  1984","PubMed","citation","PMID:6331374","pubmed","6331374","create date:1984/01/01 | first author:Haustein KO",
"Specific activity of carp antisera against beta 2-microglobulin (beta 2m) and evidence for a beta 2m homologue in carp (Cyprinus carpio).","/pubmed/6209173","Shalev A, Caspi RR, Lögdberg L, Björck L, Segal S, Avtalion RR.","Dev Comp Immunol. 1984 Summer;8(3):639-48.","Dev Comp Immunol.  1984","PubMed","citation","PMID:6209173","pubmed","6209173","create date:1984/01/01 | first author:Shalev A",
"Campylobacter jejuni-associated diarrhea in dogs.","/pubmed/6654721","Fox JG, Moore R, Ackerman JI.","J Am Vet Med Assoc. 1983 Dec 15;183(12):1430-3. No abstract available. ","J Am Vet Med Assoc.  1983","PubMed","citation","PMID:6654721","pubmed","6654721","create date:1983/12/15 | first author:Fox JG",
"Canine and feline campylobacteriosis: epizootiology and clinical and public health features.","/pubmed/6606637","Fox JG, Moore R, Ackerman JI.","J Am Vet Med Assoc. 1983 Dec 15;183(12):1420-4. No abstract available. ","J Am Vet Med Assoc.  1983","PubMed","citation","PMID:6606637","pubmed","6606637","create date:1983/12/15 | first author:Fox JG",
"[Comparative anatomy of the mandible. Functional aspects].","/pubmed/6679450","Denoix JM.","Bull Assoc Anat (Nancy). 1983 Dec;67(199):395-419. French. ","Bull Assoc Anat (Nancy).  1983","PubMed","citation","PMID:6679450","pubmed","6679450","create date:1983/12/01 | first author:Denoix JM",
"Metoclopramide.","/pubmed/6643268","Burrows CF.","J Am Vet Med Assoc. 1983 Dec 1;183(11):1341-3. No abstract available. ","J Am Vet Med Assoc.  1983","PubMed","citation","PMID:6643268","pubmed","6643268","create date:1983/12/01 | first author:Burrows CF",
"[Skin fungi as pathogens of zoonoses].","/pubmed/6417528","Böhm KH.","MMW Munch Med Wochenschr. 1983 Nov 18;125(46):1061-3. German.  No abstract available. ","MMW Munch Med Wochenschr.  1983","PubMed","citation","PMID:6417528","pubmed","6417528","create date:1983/11/18 | first author:Böhm KH",
"[Thoracic vertebral nerve].","/pubmed/6661058","Denisov SD.","Arkh Anat Gistol Embriol. 1983 Nov;85(11):60-6. Russian. ","Arkh Anat Gistol Embriol.  1983","PubMed","citation","PMID:6661058","pubmed","6661058","create date:1983/11/01 | first author:Denisov SD",
"Interspecies comparison of muscle gangliosides by two-dimensional thin-layer chromatography.","/pubmed/6654859","Nakamura K, Ariga T, Yahagi T, Miyatake T, Suzuki A, Yamakawa T.","J Biochem. 1983 Nov;94(5):1359-65.","J Biochem.  1983","PubMed","citation","PMID:6654859","pubmed","6654859","create date:1983/11/01 | first author:Nakamura K",
"RAST with animal dander, urine, saliva and serum.","/pubmed/6638617","Berrens L, van Dijk AG, Bollebakker-Baars A, Huizinga M.","Ann Allergy. 1983 Nov;51(5):543-6.","Ann Allergy.  1983","PubMed","citation","PMID:6638617","pubmed","6638617","create date:1983/11/01 | first author:Berrens L",
"Intra- and interspecific embryo transfer.","/pubmed/6363609","Kraemer DC.","J Exp Zool. 1983 Nov;228(2):363-71. Review.","J Exp Zool.  1983","PubMed","citation","PMID:6363609","pubmed","6363609","create date:1983/11/01 | first author:Kraemer DC",
"Granules of blood eosinophils are stained directly by anti-immunoglobulin fluorescein isothiocyanate conjugates.","/pubmed/6196994","Floyd K, Suter PF, Lutz H.","Am J Vet Res. 1983 Nov;44(11):2060-3.","Am J Vet Res.  1983","PubMed","citation","PMID:6196994","pubmed","6196994","create date:1983/11/01 | first author:Floyd K",
"Production and characterization of separate monoclonal antibodies to human acetylcholinesterase and butyrylcholinesterase.","/pubmed/6195517","Brimijoin S, Mintz KP, Alley MC.","Mol Pharmacol. 1983 Nov;24(3):513-20.","Mol Pharmacol.  1983","PubMed","citation","PMID:6195517","pubmed","6195517","create date:1983/11/01 | first author:Brimijoin S",
"Animal welfare and the Australian veterinarian.","/pubmed/6651667","Smith JB.","Aust Vet J. 1983 Oct;60(10):299-302.","Aust Vet J.  1983","PubMed","citation","PMID:6651667","pubmed","6651667","create date:1983/10/01 | first author:Smith JB",
"Environmental and social influences on skin test results in children.","/pubmed/6638417","Linna O.","Allergy. 1983 Oct;38(7):513-6.","Allergy.  1983","PubMed","citation","PMID:6638417","pubmed","6638417","create date:1983/10/01 | first author:Linna O",
"Pemphigus in domestic animals.","/pubmed/6400549","Scott DW.","Clin Dermatol. 1983 Oct-Dec;1(2):141-52. Review. No abstract available. ","Clin Dermatol.  1983","PubMed","citation","PMID:6400549","pubmed","6400549","create date:1983/10/01 | first author:Scott DW",
"Immunohistochemical localization of vasoactive intestinal polypeptide (VIP) in Merkel cells of various mammals: evidence for a neuromodulator function of the Merkel cell.","/pubmed/6137503","Hartschuh W, Weihe E, Yanaihara N, Reinecke M.","J Invest Dermatol. 1983 Oct;81(4):361-4.","J Invest Dermatol.  1983","PubMed","citation","PMID:6137503","pubmed","6137503","create date:1983/10/01 | first author:Hartschuh W",
"[Effects of suloctidil on the central and peripheral nervous systems].","/pubmed/6319248","Nishi H, Watanabe T, Mori M.","Nihon Yakurigaku Zasshi. 1983 Sep;82(3):191-212. Japanese. ","Nihon Yakurigaku Zasshi.  1983","PubMed","citation","PMID:6319248","pubmed","6319248","create date:1983/09/01 | first author:Nishi H",
"The frequency and severity of cat allergy vs. dog allergy in atopic children.","/pubmed/6886252","Murray AB, Ferguson AC, Morrison BJ.","J Allergy Clin Immunol. 1983 Aug;72(2):145-9.","J Allergy Clin Immunol.  1983","PubMed","citation","PMID:6886252","pubmed","6886252","create date:1983/08/01 | first author:Murray AB",
"Comparative morphologic features of the pulmonary vasculature in mammals.","/pubmed/6881709","Kay JM.","Am Rev Respir Dis. 1983 Aug;128(2 Pt 2):S53-7.","Am Rev Respir Dis.  1983","PubMed","citation","PMID:6881709","pubmed","6881709","create date:1983/08/01 | first author:Kay JM",
"Isolation of Mycoplasma and Ureaplasma species from raccoon dogs (Nyctereutes procyonoides viverrinus).","/pubmed/6631416","Kanamoto Y, Kotani H, Ogata M, Matsuo Y.","J Gen Microbiol. 1983 Aug;129(8):2447-50.","J Gen Microbiol.  1983","PubMed","citation","PMID:6631416","pubmed","6631416","create date:1983/08/01 | first author:Kanamoto Y",
"Campylobacter species in the dog and cat. A cause for concern?","/pubmed/6606257","Dillon AR, Wilt GR.","Vet Clin North Am Small Anim Pract. 1983 Aug;13(3):647-52. No abstract available. ","Vet Clin North Am Small Anim Pract.  1983","PubMed","citation","PMID:6606257","pubmed","6606257","create date:1983/08/01 | first author:Dillon AR",
"Dog and human acid beta-D-galactosidases are structurally similar.","/pubmed/6412684","Hubert JJ, O'Brien JS.","Biochem J. 1983 Aug 1;213(2):473-8.","Biochem J.  1983","PubMed","citation","PMID:6412684 | PMCID:PMC1152150","pubmed","6412684","create date:1983/08/01 | first author:Hubert JJ",
"Two cases of dipylidiasis (dog tapeworm infection) in children: update on an old problem.","/pubmed/6683398","Hamrick HJ, Drake WR Jr, Jones HM, Askew AP, Weatherly NF.","Pediatrics. 1983 Jul;72(1):114-7.","Pediatrics.  1983","PubMed","citation","PMID:6683398","pubmed","6683398","create date:1983/07/01 | first author:Hamrick HJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Updating and perspectives of the epidemiology of trichinosis in Chile].","/pubmed/6677261","Schenone H, Sandoval L, Contreras MC, Saavedra T, Letonja T.","Bol Chil Parasitol. 1983 Jul-Dec;38(3-4):63-6. Spanish.  No abstract available. ","Bol Chil Parasitol.  1983","PubMed","citation","PMID:6677261","pubmed","6677261","create date:1983/07/01 | first author:Schenone H",
"[Algal infections in man and animals].","/pubmed/6353571","Mettler F.","Schweiz Arch Tierheilkd. 1983 Jul;125(7):433-42. Review. German.  No abstract available. ","Schweiz Arch Tierheilkd.  1983","PubMed","citation","PMID:6353571","pubmed","6353571","create date:1983/07/01 | first author:Mettler F",
"Occurrence of chloramphenicol acetyltransferase and Tn9 among chloramphenicol-resistant enteric bacteria from humans and animals.","/pubmed/6576996","Matthews PR, Cameron FH, Stewart PR.","J Antimicrob Chemother. 1983 Jun;11(6):535-42.","J Antimicrob Chemother.  1983","PubMed","citation","PMID:6576996","pubmed","6576996","create date:1983/06/01 | first author:Matthews PR",
"[Ascarids of cats and dogs: a public health and veterinary medicine problem].","/pubmed/6224494","Schantz PM, Glickman LT.","Bol Oficina Sanit Panam. 1983 Jun;94(6):571-86. Spanish.  No abstract available. ","Bol Oficina Sanit Panam.  1983","PubMed","citation","PMID:6224494","pubmed","6224494","create date:1983/06/01 | first author:Schantz PM",
"Comparative activation kinetics of mammalian plasminogens.","/pubmed/6682680","Wohl RC, Sinio L, Summaria L, Robbins KC.","Biochim Biophys Acta. 1983 May 30;745(1):20-31.","Biochim Biophys Acta.  1983","PubMed","citation","PMID:6682680","pubmed","6682680","create date:1983/05/30 | first author:Wohl RC",
